id,n,v,cpc,cmp,lc,hc,vt,mv,i,f,g,a,o,c,h,src
1210,다나와 버티컬 마우스,23,0.69,90,0,0,1,10|20|20|20|20|20|10|20|10|20|30|20,8,0,0,0,1507|1239|1316|1384,L,false,A
1211,버티컬 마우스 손가락,18,,14,0,0,0,27|10|10|28|28|10|10|10|10|10|35|10,1,65,0,0,1507|1601|1578|1390|1239|1635,L,false,A
1212,위글위글 버티컬 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,64,0,0,1507|1316,L,false,A
1213,삼성 버티컬 마우스 휠,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,3137,0,0,1507|1316,L,false,A
1214,로지텍 코리아 mx vertical,0,,,0,0,0,0|0|0|11|0|0|0|12|0|0|0|0,8,1089,0,0,1507,L,false,A
1215,wem500 pro 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1088,0,0,1133|1239|1384|1635|1079,L,false,A
1216,tg 무선 마우스,46,,27,0,0,-0.16,60|60|60|50|70|40|40|30|60|50|40|50,8,65,0,32,1507,L,false,A
1217,작은 손 버티컬 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2112,0,0,1316,L,false,A
1218,올리브영 마우스,106,1.12,37,0,0,0,90|99|140|120|210|170|120|140|110|90|120|110,8,64,0,0,1507|1316,L,false,A
1219,구슬 마우스,63,0.33,17,0,0,1.47,33|36|47|46|57|30|39|47|34|58|47|84,5,10304,0,0,1601|1390,L,false,A
1220,앤커 버티컬 마우스 클리앙,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1390,L,false,A
1221,삼보 버티컬 마우스,60,0.25,100,0,0,0,70|70|100|80|80|60|50|30|60|60|60|60,8,1088,0,0,1507,L,false,A
1222,버티컬 마우스 손 아픔,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1390|1239|1270|1316,L,false,A
1223,유선 버티컬 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,10240,0,0,1239|1270|1384,L,false,A
1224,휠 편한 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8256,0,0,1507|1316,L,false,A
1225,아이리버 버티컬 마우스 클리앙,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1578|1316|1384,L,false,A
1226,로지텍 버티컬 마우스 디시,70,,68,0,0,-0.28,50|30|50|50|70|70|50|70|70|70|90|50,4,0,0,0,1384,L,false,A
1227,무소음 버티컬 마우스 추천,76,0.7,87,0,0,0.42,39|47|50|59|60|39|50|80|70|60|70|100,8,8257,0,0,1507|1384,L,false,A
1228,로지텍 마우스 버티컬,3206,0.07,100,54.2k,204.4k,1.7,310|360|450|400|420|310|300|460|1.2k|2.4k|3.9k|3.3k,8,2112,0,24,1270|1316,L,false,A
1229,로지텍 mx vertical 게임,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,65,0,0,1507|1133|1270|1316,L,false,A
1230,mx ergo 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1239|1384,L,false,A
1231,logitech 무선 마우스,66,0.06,89,0,0,-0.25,70|60|80|80|80|50|60|50|80|60|80|60,8,64,0,0,1507,L,false,A
1232,올리브영 로지텍,9,,,0,0,12,0|0|18|20|14|0|0|0|0|0|16|12,8,576,0,0,1507,L,false,A
1233,로지텍 마우스 정품,40,0.07,32,0,0,0.33,70|80|120|110|110|60|40|40|30|50|30|40,8,2112,0,0,1507,L,false,A
1234,버티컬 마우스 로지텍 리프트,12,,,0,0,-1,20|0|30|17|19|0|29|29|50|16|20|0,8,9280,0,0,1316,L,false,A
1235,아이리버 에어 리프트 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1024,0,0,1270|1384,L,false,A
1236,로지텍 버티컬 마우스 손때,11,,,0,0,-1,0|13|0|15|0|20|15|0|20|17|16|0,4,1089,0,0,1239|1316,L,false,A
1237,jomaa 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,1270|1384,L,false,A
1238,버티컬 마우스 유선 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,8257,0,0,1507|1390|1270|1316|1384,L,false,A
1239,버티컬 마우스 디시,813,0.3,43,0,0,0,590|590|720|720|720|720|590|590|720|720|1k|720,1,2112,0,0,1619|1062|1226|1504|1133|1390|1039|1270|1316|1643|1434|1755,L,true,A
1240,로지텍 버티컬 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,1270,L,false,A
1241,버티컬 마우스 여자,75,0.14,97,0,0,0.13,100|110|100|140|90|67|50|88|88|55|70|100,8,8256,0,0,1507|1578|1239|1270|1384|1635|1079,L,false,A
1242,엑토 버티컬 마우스,413,0.1,100,48.6k,228.7k,-0.12,360|300|380|370|380|320|270|320|400|370|520|350,4,1088,0,8,1507,L,false,A
1243,카카오 로지텍,3,,,0,0,-1,0|0|0|10|10|10|0|10|10|10|0|0,8,1,0,0,1507,L,false,A
1244,유선 인체공학 마우스,11,,,0,0,-1,0|0|20|11|0|17|16|16|16|19|15|0,8,9280,0,0,1507|1270,L,false,A
1245,버티컬 마우스 입문,4,,,0,0,0,13|0|0|0|0|0|11|0|0|14|0|0,5,8257,0,0,1507|1601|1578|1239|1384,L,false,A
1246,로지텍 소형 마우스,17,,,0,0,-0.15,19|18|16|0|17|0|17|20|20|16|20|17,9,8256,0,0,1507,L,false,A
1247,로지텍 버티컬 무게,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,3137,0,0,1507|1316,L,false,A
1248,로지텍 g704,26,0.11,78,0,0,-0.75,60|37|40|40|47|40|40|27|40|40|30|10,8,1089,0,0,1507,L,false,A
1249,로지텍 리프트 후기 디시,96,,13,0,0,0,20|30|30|50|40|40|70|70|90|90|110|90,1,64,0,0,1384,L,false,A
1250,로지텍 리프트 새끼손가락,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,1089,0,0,1390|1079,L,false,A
1251,버티컬 마우스 로지텍,473,0.15,100,71.4k,315.9k,-0.59,730|780|970|920|1k|700|740|990|1k|490|520|410,8,64,0,8,1239|1316,L,false,A
1252,로지텍 오피스 마우스,0,,,0,0,-1,0|0|0|0|0|0|0|0|16|0|0|0,8,8257,0,0,1507,L,false,A
1253,로지텍 버티컬 mx master,5,,,0,0,15,0|0|0|0|0|0|0|0|0|0|0|15,4,8256,0,0,1507,L,false,A
1254,다이소 무선 버티컬 마우스,315,0.05,32,0,0,33,20|10|20|10|10|10|10|10|10|25|580|340,8,9281,0,0,1507|1316,L,false,A
1255,버티컬 마우스 fps,83,0.16,36,0,0,0.4,110|90|70|90|70|90|90|50|50|70|110|70,1,8256,0,0,1507|1133|1390|1239|1270|1316|1384,L,false,A
1256,버티컬 마우스 삼성 로지텍,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1390|1270|1316,L,false,A
1257,버티컬 마우스 적응,78,,2,0,0,0,57|46|70|60|90|39|57|60|80|66|90|80,1,8256,0,0,1133|1390|1239|1270|1316,L,false,A
1258,로지텍 버티컬 마우스 화이트,6,,,0,0,-1,16|20|20|20|28|18|0|16|30|0|20|0,8,3136,0,0,1270|1316,L,false,A
1259,g103 마우스,72,,61,0,0,-0.7,80|40|160|170|50|30|60|120|120|120|60|36,8,1088,0,0,1507,L,false,A
1260,로지텍 마우스 무소음,223,0.11,100,61.4k,233.1k,0,120|110|160|170|140|140|160|150|180|230|260|180,8,1089,0,0,1507,L,false,A
1261,로지텍 정품 마우스,33,,,0,0,1.6,30|23|20|19|20|17|15|13|10|58|15|26,8,64,0,0,1507,L,false,A
1262,손큰 사람 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8256,0,0,1384,L,false,A
1263,에이서 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,1507|1578|1239|1316|1384|1635,L,false,A
1264,로지텍 버티컬 마우스 가격,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1089,0,0,1316,L,false,A
1265,로지텍 리프트 건전지,26,,10,0,0,1,10|23|37|35|23|10|22|37|10|26|32|20,4,64,0,0,1316,L,false,A
1266,버티컬 무선,4,,,0,0,0,0|0|0|0|0|0|37|0|0|0|14|0,8,11329,0,0,1507|1239|1316,L,false,A
1267,유그린 버티컬 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1089,0,0,1390|1239|1270|1384,L,false,A
1268,버티컬 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,1507|1239|1316|1384|1079,L,false,A
1269,앤커 인체공학 버티컬 무선마우스,10,,100,0,0,0,0|10|0|10|10|10|10|10|10|10|10|10,8,64,0,0,1507|1316|1384,L,false,A
1270,버티컬 마우스 의 치명적인 단점,866,1.36,2,0,0,0,1k|1k|1k|1k|1k|720|720|720|880|720|1k|880,1,2113,0,0,1507|1601|1578|1390|1239|310|1661|1316|1384|1392|1635|1424,L,true,A
1271,무선 무소음 버티컬 마우스,10,,,0,0,-0.15,0|16|30|17|19|20|17|20|20|0|13|17,8,9280,0,0,1390|1384,L,false,A
1272,버티컬 마우스 배그,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,10304,0,0,1133|1390|1316,L,false,A
1273,코시 무소음 버티컬 무선 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,9,8257,0,0,1316,L,false,A
1274,여자 마우스 추천,39,,94,0,0,-0.4,20|58|46|45|30|40|30|50|50|58|30|30,4,1,0,0,1507|1384|1635,L,false,A
1275,g504 마우스,10,0.19,81,0,0,-0.72,30|10|10|10|10|10|10|21|36|10|10|10,8,1088,0,0,1507,L,false,A
1276,블루투스 버티컬 마우스 추천,6,,,0,0,20,0|0|0|0|0|0|0|0|0|0|0|20,8,8257,0,0,1507|1578|1239|1270|1384,L,false,A
1277,논 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,2113,0,0,1507|1601|1390|1239|1316|1384,L,false,A
1278,삼성 버티컬 마우스 디시,90,0.38,54,0,0,-0.54,50|40|90|90|70|70|70|50|110|110|110|50,4,1088,0,0,1133|1270|1384,L,false,A
1279,로지텍 mx 리프트 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1390,L,false,A
1280,유선 무소음 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|15|0|0|0|0,8,1088,0,0,1507|1270|1384,L,false,A
1281,손 안 아픈 마우스,20,,,0,0,-0.33,30|30|20|30|20|20|20|30|30|20|20|20,9,8257,0,0,1507|1390|1239|1270|1316|1079,L,false,A
1282,버티컬 마우스 손목 패드,0,,,0,0,0,20|20|30|20|18|16|15|0|0|0|0|0,4,1089,0,0,1507|1316,L,false,A
1283,mx 버티컬 lift,0,,,0,0,0,0|0|16|0|17|0|0|0|0|0|0|0,4,8256,0,0,1316,L,false,A
1284,포켓몬 버티컬 마우스 디시,10,0.01,52,0,0,0,0|40|30|10|10|20|10|10|10|10|10|10,4,1088,0,0,1133|1384,L,false,A
1285,기능성 마우스,33,,67,0,0,0,40|30|40|40|50|40|40|50|30|40|30|30,8,65,0,0,1507|1601|1578|1390|1239|1270|1316|1635,L,false,A
1286,유선 버티컬 마우스 추천,106,0.95,100,116.9k,660.4k,-0.28,90|70|90|140|110|90|90|140|140|110|110|100,9,8257,0,0,1601|1578,L,false,A
1287,무한 휠 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1089,0,0,1239|1316,L,false,A
1288,버티컬 마우스 차이,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,8257,0,0,1507|1270|1316,L,false,A
1289,삼성전자 버티컬 마우스,163,0.1,83,0,0,0,90|120|120|160|180|130|120|160|150|160|180|150,8,1090,0,0,1507|1316,L,false,A
1290,로지텍 mr0094 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1133|1390|1239|1384,L,false,A
1291,코시 버티컬 마우스 후기,10,,38,0,0,0,20|10|10|10|10|10|10|10|10|10|10|10,4,1025,0,0,1507|1316,L,false,A
1292,로지텍 mx vertical 마우스,120,0.06,77,79.0k,610.2k,-0.15,110|80|90|60|60|70|120|80|130|90|160|110,8,64,0,0,1578|1316,L,false,A
1293,버티컬 마우스 리뷰,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,10305,0,0,1507|1601|1239|1316|1384,L,false,A
1294,저소음 버티컬 마우스 다이 소,6,,,0,0,0,0|0|0|0|0|0|0|0|0|0|20|0,8,11328,0,0,1507|1601|1390|1270|1316,L,false,A
1295,로지텍 마우스 가격,161,0.09,69,11.6k,76.1k,-0.33,120|110|110|180|130|110|130|160|190|209|150|126,8,2113,0,0,1507,L,false,A
1296,클리앙 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1507|1239|1270|1316,L,false,A
1297,로지텍 양손 마우스,0,,,0,0,0,20|0|0|0|0|0|0|14|0|0|0|0,8,1089,0,0,1507,L,false,A
1298,버티컬 마우스 크기 비교,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8257,0,0,1578|1239|1316,L,false,A
1299,logitech logitech mx vertical,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,8192,0,0,1507,L,false,A
1300,로지텍 좌우 스크롤,0,,,0,0,-1,0|0|15|0|0|0|0|0|11|0|0|0,4,8288,0,0,1507,L,false,A
1301,지 클릭 커 op70,63,,,0,0,-0.16,30|20|50|60|60|50|40|30|60|70|70|50,8,65,0,24,1390|1316,L,false,A
1302,버티컬 마우스 어깨 통증,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,1507,L,false,A
1303,로지텍 와이어리스,34,,31,0,0,-0.37,36|30|40|40|37|39|45|30|40|50|28|25,8,1089,0,0,1507,L,false,A
1304,버티컬 마우스 가격,26,0.09,72,48.1k,133.5k,0.5,0|0|0|0|0|0|0|40|20|20|30|30,8,3137,0,0,1507|1390|1239|1316|1384,L,false,A
1305,손목 터널 증후군 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1507|1239|1316,L,false,A
1306,버티컬 마우스 블루투스,63,,,0,0,-0.22,60|60|60|90|80|50|60|50|90|30|90|70,8,1088,0,0,1507|1316|1384,L,false,A
1307,logic 마우스,11,,,0,0,-0.44,20|12|18|18|17|0|0|15|29|17|0|16,8,64,0,0,1507,L,false,A
1308,손목터널증후군 방지 마우스,4,,,0,0,0,0|0|0|14|0|0|0|0|0|13|0|0,9,8257,0,0,1507|1601|1390|1239|1270|1316,L,false,A
1309,사무용 버티컬 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,65,0,0,1390|1635,L,false,A
1310,로지텍 화이트 마우스,38,,100,0,0,-0.23,40|50|40|40|50|50|40|50|60|40|29|46,8,3136,0,0,1507,L,false,A
1311,앤커 버티컬 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1088,0,0,1384,L,false,A
1312,로지텍 버티컬 마우스 무소음,20,,,0,0,20,16|17|20|0|30|20|20|20|0|20|20|20,8,65,0,0,1316,L,false,A
1313,유선마우스 로지텍,23,,,0,0,-0.77,19|70|30|70|50|70|50|90|90|20|30|20,8,1089,0,0,1507,L,false,A
1314,코시 무선 버티컬마우스,5,,,0,0,0,0|0|0|0|14|0|0|0|0|0|15|0,9,8256,0,0,1316,L,false,A
1315,버티컬 마우스 작은손,120,0.05,99,0,0,-0.08,130|130|140|170|180|100|110|120|120|110|140|110,8,10305,2,0,1316,L,false,A
1316,버티컬 마우스 추천,5480,0.23,100,109.0k,565.7k,-0.11,5.0k|5.0k|5.5k|5.4k|5.4k|4.8k|4.2k|4.5k|6.2k|4.9k|6.0k|5.5k,8,8257,0,0,1677|1507|1082|1239|1270|1475|1384|1392|1635|1716|1621|1286,L,true,A
1317,버티컬 마우스 디자인,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,9280,0,0,1507|1601|1578|1239|1270|1316|1384,L,false,A
1318,손목 마우스 추천,146,0.08,100,0,0,-0.51,270|240|360|350|320|260|110|140|270|170|140|130,8,8257,0,0,1507|1239|1270|1316|1384|1635,L,false,A
1319,로지텍 인체공학 무선 마우스 버티컬 lift,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1024,0,0,1507,L,false,A
1320,버티컬 마우스 에임,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1024,0,0,1133|1239|1316|1079,L,false,A
1321,버티칼 무선 마우스,0,,,0,0,0,0|0|0|0|0|0|14|0|0|0|0|0,8,9281,0,0,1507|1239|1316|1384,L,false,A
1322,버티컬 마우스 팔꿈치,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8257,0,0,1270|1384,L,false,A
1323,여자 무선 마우스,5,,,0,0,-1,0|0|0|0|0|0|0|0|13|15|0|0,8,1089,0,0,1507|1384|1635,L,false,A
1324,버티컬 마우스 그립,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,8256,0,0,1601|1390|1316,L,false,A
1325,손목 마우스 추천 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1,0,0,1390|1239|1384,L,false,A
1326,다이소 버티컬 마우스 후기,443,0.09,12,0,0,490,0|0|10|10|10|0|0|0|0|10|830|490,4,65,0,8,1390|1316,L,false,A
1327,여성용 버티컬 마우스 추천,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,9281,0,0,1239|1384,L,false,A
1328,손 작은 여자 버티컬 마우스,6,,,0,0,0,0|0|0|0|0|0|0|0|0|0|18|0,9,10305,0,0,1635,L,false,A
1329,마우스 g103,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,1088,0,0,1507,L,false,A
1330,버티컬 마우스 건전지,43,,,0,0,-0.5,30|28|30|50|60|30|50|50|60|30|70|30,1,1089,0,0,1270|1316|1079,L,false,A
1331,로이체 버티컬 마우스 디시,56,0.23,41,0,0,0.25,20|20|30|40|40|40|30|40|40|50|70|50,1,3136,0,0,1133|1384,L,false,A
1332,터널 3d 디시,10,,0,0,0,0,0|0|0|0|0|0|0|30|10|10|10|10,4,1092,0,0,1239|1384,L,false,A
1333,유선 버티컬 마우스 추천 클리앙,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,1507|1384,L,false,A
1334,인체공학 마우스 디시,43,,34,0,0,0,40|30|50|40|40|40|40|40|40|40|50|40,1,64,0,0,1390|1270,L,false,A
1335,버티컬 마우스 효과,146,,5,0,0,-0.07,140|120|150|190|180|110|140|120|140|130|180|130,1,8257,0,16,1507|1601|1390|1239|1316|1384,L,false,A
1336,앱코 버티컬 마우스 디시,26,,56,0,0,-0.5,30|30|30|40|30|30|30|20|40|30|30|20,1,1088,0,0,1133|1270|1384,L,false,A
1337,로지텍 버티컬 무한휠,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,8256,0,0,1507,L,false,A
1338,맥북 버티컬 마우스 추천,27,1.52,100,0,0,0.4,20|10|20|30|20|10|20|25|20|10|45|28,8,8257,0,0,1507,L,false,A
1339,버티컬 마우스 1 황,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1578|1239|1270|1316|1384,L,false,A
1340,로지텍 버티컬 마우스 리프트,163,0.11,100,75.7k,276.0k,0,110|100|120|130|120|70|110|120|180|130|180|180,8,9280,0,16,1316,L,false,A
1341,알리 버티컬 마우스 디시,23,,19,0,0,0,20|30|30|30|40|20|40|10|20|20|30|20,1,0,0,0,1270|1384,L,false,A
1342,디시 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1507|1133|1390|1270|1384,L,false,A
1343,90도 버티컬 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,5,1088,0,0,1507|1578|1390|1239|1270|1316|1384,L,false,A
1344,버티컬 유선 마우스 추천,0,,,0,0,-1,0|0|0|0|0|19|0|0|18|0|0|0,8,10305,0,0,1601|1578|1239|1316|1384,L,false,A
1345,가성비 버티컬 마우스 추천 디시,20,,84,0,0,1,10|30|20|10|10|10|30|10|10|20|20|20,1,2113,0,0,1133|1239,L,false,A
1346,로지텍 버티컬 마우스 유선,43,,,0,0,-0.33,30|30|30|40|30|20|40|30|30|60|50|20,8,65,0,0,1316,L,false,A
1347,삼보 무선마우스,0,,,0,0,0,0|0|12|13|0|0|0|0|0|0|0|0,8,2113,0,0,1507|1316,L,false,A
1348,손목 보호 마우스 추천,133,0.25,100,154.4k,374.6k,-0.29,160|200|220|290|280|190|100|140|240|100|130|170,8,10305,0,32,1239|1316|1384,L,false,A
1349,g104 마우스,0,,,0,0,-1,0|0|0|0|0|0|0|0|17|0|0|0,4,3137,0,0,1507,L,false,A
1350,버티컬 마우스 다이소,188,0.13,46,0,0,5,0|0|0|20|20|0|0|16|30|15|370|180,8,9280,0,0,1254|1491|1326|1270|1316|1582,L,false,A
1351,버티컬 게임,13,,2,0,0,-0.5,10|20|20|10|10|20|10|10|20|10|20|10,1,65,0,0,1270|1316,L,false,A
1352,터널 증후군 방지 마우스,9,,,0,0,0,0|0|0|12|13|0|0|0|0|14|15|0,9,8257,0,0,1507|1601|1390|1239|1316,L,false,A
1353,손목 편한 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,65,0,0,1316,L,false,A
1354,ms 버티컬,0,,,0,0,0,12|0|20|15|0|0|0|0|0|0|0|0,8,8256,0,0,1507|1316,L,false,A
1355,lift 버티컬 마우스,35,0.06,91,62.0k,251.2k,-0.1,30|30|29|30|30|10|27|30|40|30|40|36,8,2112,0,0,1316,L,false,A
1356,아이보리 마우스,23,,,0,0,0,0|0|20|30|29|14|26|19|20|20|30|20,8,1088,0,0,1507|1384,L,false,A
1357,쿠팡 버티컬 마우스,50,0.15,100,63.6k,664.1k,-0.26,70|48|80|49|74|68|49|40|68|34|67|50,8,1088,0,0,1507|1239|1316|1384,L,false,A
1358,버티컬 마우스 손목받침,0,,,0,0,0,0|0|20|19|17|19|13|0|0|0|0|0,8,8256,0,0,1507|1270|1316,L,false,A
1359,로지텍 ergo 마우스 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8193,0,0,1507,L,false,A
1360,버티컬 리프트 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,1316,L,false,A
1361,지 클릭 커 op70 후기,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1390|1316,L,false,A
1362,제닉스 버티컬 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,1384,L,false,A
1363,mx vertical 무소음,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,8,9281,0,0,1507|1270|1316,L,false,A
1364,인체공학 마우스 후기,10,,25,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,1,10304,0,0,1507|1270|1316,L,false,A
1365,앵커 버티컬 마우스 후기,6,,43,0,0,10,0|0|0|0|0|0|10|0|0|0|10|10,4,1,0,0,1507|1133|1390|1316|1384,L,false,A
1366,로지텍 버티컬 마우스 수명,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,1089,0,0,1270|1316,L,false,A
1367,편한 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,1239|1384,L,false,A
1368,손가락 통증 마우스 추천,10,,0,0,0,0,10|10|10|10|10|10|10|10|10|10|10|10,5,10305,0,0,1316,L,false,A
1369,로지텍 구름 마우스,4,,,0,0,0,0|0|0|0|0|0|0|0|0|14|0|0,4,1089,0,0,1507,L,false,A
1370,삼성 로지텍 마우스,6,,,0,0,-1,0|0|0|0|0|0|0|0|13|0|18|0,8,1088,0,0,1507,L,false,A
1371,로지텍 버티컬 마우스 매크로,49,,24,0,0,1,33|10|31|10|10|20|35|34|35|33|46|70,8,8257,0,0,,L,false,A
1372,로지텍 버티컬 마우스 후기,29,,58,0,0,-0.44,57|30|48|38|50|20|40|36|50|20|40|28,1,10304,0,0,1316,L,false,A
1373,손목 편한 무선 마우스,5,,,0,0,-1,16|20|20|0|19|20|19|0|40|17|0|0,9,9281,0,0,1507|1578|1239|1316|1384,L,false,A
1374,인체공학 마우스 비교,10,0.03,,0,0,0,10|10|10|10|0|10|10|10|10|10|10|10,5,8257,0,0,1507|1578|1239|1270|1316,L,false,A
1375,손목보호 마우스 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2112,0,0,1390|1239|1384,L,false,A
1376,버티컬 마우스 로지텍 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,2113,0,0,1507|1133|1390|1239|1384,L,false,A
1377,마우스 로지텍,846,0.13,99,42.3k,284.3k,-0.32,880|670|840|840|800|860|770|900|1.1k|910|890|740,8,8256,0,0,1507,L,false,A
1378,mx vertical mxmaster3 비교,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,1578|1270,L,false,A
1379,umpc 손목,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,8256,0,0,1578|1390|1239|1635,L,false,A
1380,로지텍 버티컬 핑크,19,,,0,0,0.17,0|18|20|17|19|0|16|0|17|17|20|20,8,1088,0,0,1316,L,false,A
1381,로지텍 버티컬 마우스 크기,0,,,0,0,0,0|0|18|0|0|0|0|0|0|0|0|0,4,2113,0,0,1270,L,false,A
1382,로지텍 충전식 무선 마우스,58,0.14,100,65.3k,225.3k,0.01,40|30|54|61|30|63|55|20|58|55|60|59,8,2113,0,0,1507,L,false,A
1383,버티컬 마우스 사용법,230,0.03,0,104.9k,130.7k,-0.04,180|180|220|220|260|220|180|190|230|170|300|220,1,8257,2,0,,L,false,A
1384,버티컬 마우스 추천 디시,486,0.39,64,0,0,0,390|480|480|590|590|480|480|480|480|390|590|480,1,1,0,0,1062|1345|1786|1504|1133|1239|1723|1270|1392|1309|1730|1155,L,true,A
1385,삼성 버티컬 디시,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,1,64,0,0,1270|1384,L,false,A
1386,로지텍 손목 보호 마우스,173,0.19,100,81.9k,363.6k,-0.27,170|140|210|220|150|150|180|210|180|190|200|130,8,9280,0,32,1507|1270|1316,L,false,A
1387,게임 버티컬 마우스,5,,,0,0,0,0|0|15|0|14|13|0|0|0|0|15|0,4,8192,0,0,1507|1133|1390|1239|1316|1384,L,false,A
1388,맥용 버티컬 마우스,0,,,0,0,0,0|0|0|15|0|0|0|0|0|0|0|0,8,8256,0,0,1507|1079,L,false,A
1389,logitech mouse kablosuz,3,,,0,0,0,0|0|0|0|0|0|0|10|0|10|0|0,8,64,0,0,1507,L,false,A
1390,버티컬 마우스 단점 디시,106,,1,0,0,0.22,10|20|20|30|50|40|70|90|90|70|140|110,1,2112,0,0,1062|1677|1504|1133|1723|1657|1384|1392|1415|1755|1730|1152,L,false,A
1391,손가락 관절 마우스,0,,,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0,4,64,0,0,1578|1316,L,false,A
